SalePrice,Foundation,GrLivArea,MSSubClass,TotalBsmtSF,YrSold,YearBuilt,BedroomAbvGr,OverallQual,OverallCond,Neighborhood,Functional,KitchenAbvGr,TotRmsAbvGrd,GarageCars,Yrowned
127500,CBlock,1069,120,1069.0,2010,1977,2,6,5,NPkVill,0,1,4,2.0,33
149900,CBlock,1456,160,855.0,2010,1975,3,6,6,NPkVill,0,1,6,2.0,35
120000,CBlock,836,120,836.0,2010,1975,2,7,6,NPkVill,0,1,4,1.0,35
146000,CBlock,1456,160,855.0,2010,1978,3,6,5,NPkVill,0,1,7,2.0,32
376162,PConc,2334,60,1590.0,2010,2009,3,9,5,NridgHt,0,1,10,3.0,1
306000,PConc,1704,20,1704.0,2010,2007,3,8,5,NridgHt,0,1,7,3.0,3
395192,PConc,1940,20,1930.0,2010,2009,3,9,5,NridgHt,0,1,8,3.0,1
290941,PConc,1544,20,1544.0,2010,2009,3,8,5,NridgHt,0,1,7,3.0,1
220000,PConc,1541,20,1541.0,2010,2005,3,7,5,NridgHt,0,1,7,2.0,5
275000,PConc,1698,20,1698.0,2010,2005,3,9,5,NridgHt,0,1,7,3.0,5
259000,PConc,1822,20,1822.0,2010,2005,3,8,5,NridgHt,0,1,8,3.0,5
214000,PConc,1535,20,1517.0,2010,2004,3,7,5,NridgHt,0,1,7,2.0,6
611657,PConc,2364,20,2330.0,2010,2009,2,9,5,NridgHt,0,1,11,3.0,1
224000,PConc,1358,120,1358.0,2010,2009,2,7,5,NridgHt,0,1,6,2.0,1
500000,PConc,2696,20,2846.0,2010,2003,3,9,5,NridgHt,0,1,10,3.0,7
320000,PConc,2250,60,1671.0,2010,2002,3,8,5,NridgHt,0,1,7,3.0,8
319900,PConc,1752,120,1752.0,2010,2005,2,9,5,NridgHt,0,1,6,2.0,5
205000,PConc,1370,120,1370.0,2010,2006,2,8,5,NridgHt,0,1,6,2.0,4
175500,PConc,1626,160,764.0,2010,2003,2,7,5,NridgHt,0,1,6,2.0,7
160000,PConc,1145,120,1145.0,2010,2006,2,7,5,Blmngtn,0,1,6,2.0,4
192000,PConc,1269,120,1256.0,2010,2004,2,8,5,Blmngtn,0,1,6,2.0,6
333168,PConc,2599,60,1393.0,2010,1999,4,9,5,NoRidge,0,1,10,3.0,11
355000,PConc,2475,60,1629.0,2010,1998,4,8,5,NoRidge,0,1,7,3.0,12
260400,PConc,1720,20,1720.0,2010,1996,3,7,5,NoRidge,0,1,7,2.0,14
325000,PConc,2622,60,1463.0,2010,1994,3,8,5,NoRidge,0,1,9,2.0,16
290000,PConc,2270,60,1152.0,2010,1999,4,8,7,NoRidge,0,1,9,3.0,11
221000,PConc,1839,60,1195.0,2010,1998,4,7,5,NoRidge,0,1,7,2.0,12
410000,PConc,3238,50,2033.0,2010,1995,4,8,5,NoRidge,0,1,9,3.0,15
233000,PConc,2084,60,956.0,2010,2004,4,7,5,SawyerW,0,1,8,2.0,6
181000,PConc,1659,60,831.0,2010,2004,3,7,5,SawyerW,0,1,8,2.0,6
205000,PConc,2110,60,948.0,2010,1994,3,7,5,SawyerW,0,1,8,2.0,16
143000,CBlock,923,120,923.0,2010,1980,2,6,5,SawyerW,0,1,5,1.0,30
189000,PConc,1845,60,1055.0,2010,1992,3,6,5,SawyerW,0,1,8,2.0,18
99500,CBlock,918,120,918.0,2010,1979,2,6,5,SawyerW,0,1,5,1.0,31
125000,CBlock,752,120,744.0,2010,1984,2,6,5,SawyerW,0,1,4,1.0,26
194500,PConc,1744,60,996.0,2010,1993,3,7,7,SawyerW,0,1,7,2.0,17
152000,PConc,1097,20,1040.0,2010,1984,3,6,5,SawyerW,0,1,6,2.0,26
171000,CBlock,1564,60,650.0,2010,1980,3,6,6,SawyerW,0,1,7,2.0,30
67500,BrkTil,1012,30,816.0,2010,1920,2,5,5,SawyerW,0,1,5,1.0,90
112000,Slab,1902,90,0.0,2010,1978,4,6,5,Sawyer,0,2,8,2.0,32
148000,CBlock,1155,85,1109.0,2010,1961,3,5,7,Sawyer,2,1,6,2.0,49
138500,CBlock,894,20,894.0,2010,1965,3,5,8,Sawyer,0,1,5,1.0,45
122000,CBlock,900,20,882.0,2010,1967,3,5,5,Sawyer,0,1,5,1.0,43
133000,CBlock,1040,20,1040.0,2010,1963,3,5,5,Sawyer,0,1,5,1.0,47
127000,CBlock,1040,20,1040.0,2010,1962,3,5,8,Sawyer,0,1,6,1.0,48
169000,CBlock,1494,20,1208.0,2010,1974,3,6,6,Sawyer,0,1,7,2.0,36
190000,PConc,1923,60,750.0,2010,1992,3,7,5,NoRidge,0,1,8,2.0,18
362500,PConc,2349,60,1231.0,2010,1993,4,8,5,NoRidge,0,1,9,3.0,17
285000,PConc,2225,60,1390.0,2010,1992,4,8,5,NoRidge,0,1,7,3.0,18
155000,CBlock,788,120,728.0,2010,1980,1,8,5,Greens,0,1,3,2.0,30
206000,CBlock,1226,120,1226.0,2010,1978,1,8,6,Greens,0,1,4,2.0,32
130500,CBlock,1479,60,725.0,2010,1976,3,6,8,Sawyer,0,1,6,2.0,34
116500,CBlock,858,20,858.0,2010,1958,2,5,7,BrkSide,0,1,4,0.0,52
76500,CBlock,1306,30,728.0,2010,1940,3,3,2,BrkSide,3,1,6,0.0,70
128500,CBlock,1612,50,988.0,2010,1950,3,5,6,BrkSide,0,1,7,1.0,60
209500,BrkTil,2068,75,1108.0,2010,1922,3,7,7,BrkSide,0,1,8,1.0,88
87000,BrkTil,765,30,765.0,2010,1925,2,4,7,BrkSide,0,1,4,1.0,85
134000,BrkTil,1132,50,608.0,2010,1939,2,6,7,BrkSide,0,1,5,1.0,71
128000,CBlock,1196,50,572.0,2010,1940,3,6,6,BrkSide,0,1,6,2.0,70
132000,CBlock,1453,50,835.0,2010,1942,3,5,6,BrkSide,2,1,7,1.0,68
139900,CBlock,1416,50,780.0,2010,1948,3,6,7,BrkSide,0,1,6,1.0,62
123900,CBlock,1040,50,528.0,2010,1936,2,5,7,BrkSide,0,1,5,2.0,74
138400,BrkTil,1536,50,928.0,2010,1930,4,5,5,BrkSide,0,1,7,2.0,80
110000,CBlock,816,90,816.0,2010,1963,2,5,5,IDOTRR,0,1,5,2.0,47
55000,Slab,1092,190,0.0,2010,1930,3,4,5,IDOTRR,3,2,7,0.0,80
100000,BrkTil,1392,190,1212.0,2010,1915,3,5,4,SWISU,0,1,6,0.0,95
95000,CBlock,919,50,600.0,2010,1940,3,6,5,SWISU,0,1,5,1.0,70
93369,CBlock,1884,70,707.0,2010,1907,4,4,1,SWISU,0,1,7,0.0,103
114900,BrkTil,1680,190,856.0,2010,1910,2,5,7,SWISU,0,2,7,2.0,100
94000,CBlock,1020,50,780.0,2010,1875,2,5,8,Sawyer,0,1,6,0.0,135
136000,CBlock,1832,90,1832.0,2010,1967,4,4,3,Sawyer,0,2,8,0.0,43
136500,CBlock,1768,90,1768.0,2010,1968,4,4,5,Sawyer,0,2,8,0.0,42
131500,PConc,1039,190,1039.0,2010,1965,3,5,4,Sawyer,0,1,6,2.0,45
121500,CBlock,1392,20,1392.0,2010,1957,3,5,6,Sawyer,3,1,5,2.0,53
125000,CBlock,912,20,912.0,2010,1967,3,5,5,Sawyer,0,1,5,1.0,43
154000,CBlock,1060,20,1060.0,2010,1968,3,5,8,Sawyer,0,1,6,1.0,42
137900,CBlock,892,20,864.0,2010,1966,3,5,7,Sawyer,0,1,5,1.0,44
158000,CBlock,1352,60,663.0,2010,1969,4,6,7,Sawyer,0,1,7,1.0,41
137250,CBlock,864,20,864.0,2010,1968,2,5,5,Sawyer,0,1,4,1.0,42
160250,CBlock,1373,90,1319.0,2010,1978,3,5,5,Sawyer,0,1,5,2.0,32
163000,CBlock,1440,60,720.0,2010,1968,4,5,5,Sawyer,0,1,7,2.0,42
158900,CBlock,1386,60,672.0,2010,1978,3,6,5,Sawyer,0,1,6,2.0,32
85000,BrkTil,756,30,660.0,2010,1927,2,4,4,Sawyer,0,1,4,2.0,83
128000,CBlock,1067,20,1067.0,2010,1950,2,4,7,Sawyer,2,1,4,2.0,60
124000,CBlock,1610,50,972.0,2010,1938,4,3,4,Edwards,0,1,8,1.0,72
83000,BrkTil,835,30,458.0,2010,1920,2,5,5,Edwards,0,1,5,1.0,90
144500,CBlock,1074,20,663.0,2010,1950,3,6,7,Edwards,0,1,6,1.0,60
129000,CBlock,1144,20,1144.0,2010,1956,3,5,6,Edwards,0,1,6,1.0,54
127000,CBlock,1531,50,756.0,2010,1947,3,4,6,Edwards,0,1,8,1.0,63
128000,CBlock,1172,20,1172.0,2010,1954,3,5,7,Edwards,0,1,5,1.0,56
186000,PConc,1212,20,1212.0,2010,2009,3,6,5,Edwards,0,1,6,2.0,1
308030,PConc,1508,20,1508.0,2010,2009,1,7,5,Edwards,0,1,5,2.0,1
114000,CBlock,1298,20,1250.0,2010,1964,3,5,3,Edwards,0,1,5,2.0,46
84900,CBlock,930,20,0.0,2010,1946,2,4,7,Edwards,0,1,6,1.0,64
