SalePrice,Foundation,GrLivArea,MSSubClass,TotalBsmtSF,YrSold,YearBuilt,BedroomAbvGr,OverallQual,OverallCond,Neighborhood,Functional,KitchenAbvGr,TotRmsAbvGrd,GarageCars,Yrowned
215000,CBlock,1656,20,1080.0,2010,1960,3,6,5,NAmes,0,1,7,2.0,50
105000,CBlock,896,20,882.0,2010,1961,2,5,6,NAmes,0,1,5,1.0,49
172000,CBlock,1329,20,1329.0,2010,1958,3,6,6,NAmes,0,1,6,1.0,52
244000,CBlock,2110,20,2110.0,2010,1968,3,7,5,NAmes,0,1,8,2.0,42
189900,PConc,1629,60,928.0,2010,1997,3,5,5,Gilbert,0,1,6,2.0,13
195500,PConc,1604,60,926.0,2010,1998,3,6,6,Gilbert,0,1,7,2.0,12
213500,PConc,1338,120,1338.0,2010,2001,2,8,5,StoneBr,0,1,6,2.0,9
191500,PConc,1280,120,1280.0,2010,1992,2,8,5,StoneBr,0,1,5,2.0,18
236500,PConc,1616,120,1595.0,2010,1995,2,8,5,StoneBr,0,1,5,2.0,15
189000,PConc,1804,60,994.0,2010,1999,3,7,5,Gilbert,0,1,7,2.0,11
175900,PConc,1655,60,763.0,2010,1993,3,6,5,Gilbert,0,1,7,2.0,17
185000,PConc,1187,20,1168.0,2010,1992,3,6,7,Gilbert,0,1,6,2.0,18
180400,PConc,1465,60,789.0,2010,1998,3,6,5,Gilbert,0,1,7,2.0,12
171500,PConc,1341,20,1300.0,2010,1990,2,7,5,Gilbert,0,1,5,2.0,20
212000,PConc,1502,120,1488.0,2010,1985,1,8,5,StoneBr,0,1,4,2.0,25
538000,PConc,3279,60,1650.0,2010,2003,4,8,5,StoneBr,3,1,12,3.0,7
164000,Wood,1752,50,559.0,2010,1988,4,8,7,Gilbert,0,1,8,2.0,22
394432,PConc,1856,20,1856.0,2010,2010,1,9,2,StoneBr,0,1,8,3.0,0
141000,CBlock,864,20,864.0,2010,1951,2,4,5,Gilbert,0,1,4,2.0,59
210000,CBlock,2073,20,1542.0,2010,1978,3,6,6,NWAmes,1,1,7,2.0,32
190000,CBlock,1844,20,1844.0,2010,1977,3,6,6,NWAmes,0,1,7,2.0,33
170000,CBlock,1173,85,1053.0,2010,1974,3,7,6,NWAmes,0,1,6,2.0,36
216000,PConc,1674,60,814.0,2010,2000,3,7,5,Somerst,0,1,7,2.0,10
149000,CBlock,1004,20,1004.0,2010,1970,2,6,7,NAmes,0,1,5,2.0,40
